round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2,FirstandSecondPointWon1,FirstandSecondPointWon2,,,,,,,,
Second,Juan Martin Del Potro,6-4 6-7(3) 5-7 6-3 10-8,2010,m,Juan Martin Del Potro,James Blake,ARG,USA,58,62,19,16,9,4,79,69,43,48,215,206,192,182,151,148,32,50,38,35,205,200,69,81,60,60,72,65,33.97,33.12,,,,,,,,
Second,Andy Murray,6-1 6-4 6-3,2010,m,Andy Murray,Marc Gicquel,GBR,FRA,56,59,10,1,2,4,72,59,57,39,209,201,190,184,143,151,50,14,47,34,100,76,38,20,32,43,78,67,41.04,23.01,,,,,,,,
Second,Florent Serra,3-6 6-4 5-7 7-6(4) 7-5,2010,m,Florent Serra,Jarkko Nieminen,FRA,FIN,58,76,11,9,7,4,63,64,56,54,198,203,175,164,139,125,35,29,38,38,195,199,66,52,104,58,58,64,35.28,34.56,,,,,,,,
Second,John Isner,6-3 7-6(4) 7-5,2010,m,John Isner,Louk Sorensen,USA,IRL,74,61,21,11,2,6,74,91,68,50,215,200,181,172,162,143,40,0,24,27,99,94,61,28,51,19,81,0,50.32,45.5,,,,,,,,
Second,Gael Monfils,6-4 6-4 6-4,2010,m,Gael Monfils,Antonio Veic,FRA,CRO,63,63,7,2,7,0,73,60,45,45,209,188,174,169,146,132,86,60,45,35,103,85,42,23,39,24,71,56,32.85,27,,,,,,,,
Second,Rafael Nadal,6-2 6-2 6-2,2010,m,Rafael Nadal,Lukas Lacko,ESP,SVK,55,40,1,2,1,5,71,59,69,35,202,203,186,185,143,154,70,100,52,29,89,55,15,13,30,58,80,56,48.99,20.65,,,,,,,,
First,Roger Federer,4-6 6-2 7-6(2) 6-0,2010,m,Roger Federer,Igor Andreev,SUI,RUS,58,63,9,2,3,7,75,56,51,37,204,208,181,184,153,140,47,45,48,34,135,103,29,26,38,55,74,59,38.25,20.72,,,,,,,,
First,Stephane Robert,6-3 7-6(2) 7-6(4),2010,m,Stephane Robert,Potito Starace,FRA,ITA,63,61,3,5,2,2,73,66,58,51,189,195,169,174,132,146,50,18,39,32,134,110,51,56,26,53,67,60,42.34,33.66,,,,,,,,
First,Lleyton Hewitt,6-1 6-2 6-3,2010,m,Lleyton Hewitt,Ricardo Hocevar,AUS,BRA,60,70,10,5,3,4,89,61,64,36,197,203,178,181,135,153,50,0,44,20,88,58,33,19,26,39,70,59,56.96,21.96,,,,,,,,
First,Marcos Baghdatis,6-2 6-4 6-4,2010,m,Marcos Baghdatis,Paolo Lorenzi,CYP,ITA,52,66,7,2,1,6,84,58,68,43,204,193,187,171,142,147,50,25,44,24,102,71,31,19,30,50,62,53,57.12,24.94,,,,,,,,
First,Fernando Verdasco,6-7(4) 7-6(1) 7-5 6-2,2010,m,Fernando Verdasco,Carsten Ball,ESP,AUS,73,50,7,13,6,6,79,64,45,58,210,219,170,192,148,160,27,23,37,29,161,138,37,62,28,63,74,65,35.55,37.12,,,,,,,,
First,Juan Monaco,6-3 7-6(5) 6-1,2010,m,Juan Monaco,Ernests Gulbis,ARG,LAT,66,54,3,8,1,7,69,59,52,38,191,214,173,197,150,171,42,30,47,37,113,87,19,33,31,73,69,56,35.88,22.42,,,,,,,,
First,Nikolay Davydenko,6-1 6-0 6-3,2010,m,Nikolay Davydenko,Dieter Kindlmann,RUS,GER,60,60,6,0,2,6,67,45,63,28,203,178,172,167,141,141,45,33,57,34,89,52,39,12,25,35,60,80,42.21,12.6,,,,,,,,
First,Novak Djokovic,7-5 6-3 6-2,2010,m,Novak Djokovic,Daniel Gimeno-Traver,SRB,ESP,69,60,4,5,5,5,76,71,57,33,198,192,175,176,158,153,36,17,42,28,103,78,23,24,28,47,63,82,43.32,23.43,,,,,,,,
First,Marco Chiudinelli,7-6(7) 7-6(3) 4-6 6-3,2010,m,Marco Chiudinelli,Marinko Matosevic,SUI,AUS,58,55,4,12,3,5,72,60,51,59,202,190,184,175,144,137,50,42,39,36,142,134,42,51,48,49,77,70,36.72,35.4,,,,,,,,
First,Mikhail Youzhny,6-7(9) 4-6 7-6(2) 7-6(4) 6-4,2010,m,Mikhail Youzhny,Richard Gasquet,RUS,FRA,57,54,12,8,8,9,73,79,51,42,196,202,178,182,137,153,60,38,36,35,187,180,79,69,80,65,65,75,37.23,33.18,,,,,,,,
First,Jo-Wilfried Tsonga,6-3 6-4 6-4,2010,m,Jo-Wilfried Tsonga,Sergiy Stakhovsky,FRA,UKR,66,60,15,5,1,6,81,61,53,47,214,204,176,179,138,142,50,33,42,28,104,78,33,26,24,41,52,56,42.93,28.67,,,,,,,,
First,Taylor Dent,6-1 6-3 6-3,2010,m,Taylor Dent,Fabio Fognini,USA,ITA,53,42,7,2,3,7,79,48,44,35,225,187,192,169,170,139,67,38,53,36,81,51,27,20,26,32,61,70,34.76,16.8,,,,,,,,
First,Tommy Haas,6-7(5) 6-4 6-2 6-1,2010,m,Tommy Haas,Simon Greul,GER,GER,64,48,14,3,5,8,67,64,68,42,194,199,178,184,153,147,35,50,45,31,140,108,57,37,46,47,70,75,45.56,26.88,,,,,,,,
First,Marcel Granollers,5-7 2-6 6-4 6-4 6-2,2010,m,Marcel Granollers,Robin Soderling,ESP,SWE,65,62,11,8,1,3,61,67,58,45,205,211,176,185,141,149,47,50,40,40,151,150,40,57,40,67,64,71,35.38,30.15,,,,,,,,
First,Andy Roddick,6-1 6-4 6-4,2010,m,Andy Roddick,Thiemo de Bakker,USA,NED,64,71,7,17,1,2,75,65,69,50,217,209,180,178,161,141,27,0,39,27,100,79,25,43,23,42,58,50,51.75,32.5,,,,,,,,
First,Fernando Gonzalez,6-3 6-4 3-6 6-1,2010,m,Fernando Gonzalez,Olivier Rochus,CHI,BEL,59,65,19,5,4,4,88,63,46,42,201,173,174,155,148,132,40,43,43,28,124,99,70,25,32,18,71,60,40.48,26.46,,,,,,,,
First,Marin Cilic,7-5 7-5 6-3,2010,m,Marin Cilic,Fabrice Santoro,CRO,FRA,59,62,6,0,2,1,80,66,55,49,200,188,184,165,143,128,29,50,40,30,108,92,59,12,53,18,81,50,44,32.34,,,,,,,,
First,Bernard Tomic,6-3 6-4 6-4,2010,m,Bernard Tomic,Guillaume Rufin,AUS,FRA,66,57,5,2,0,2,70,56,62,50,196,194,174,175,131,146,46,38,46,33,94,70,18,20,30,52,67,58,43.4,28,,,,,,,,
First,Stanislas Wawrinka,6-3 6-3 6-2,2010,m,Stanislas Wawrinka,Guillermo Garcia-Lopez,SUI,ESP,57,60,6,1,4,9,83,63,66,42,213,186,180,171,147,137,71,0,41,23,93,63,27,13,27,40,67,53,54.78,26.46,,,,,,,,
First,James Blake,7-5 7-5 6-2,2010,m,James Blake,Arnaud Clement,USA,FRA,63,63,9,2,0,1,81,63,60,53,200,190,179,172,146,141,36,50,40,27,111,86,49,29,26,29,77,58,48.6,33.39,,,,,,,,
First,Juan Martin Del Potro,6-4 6-4 3-6 6-2,2010,m,Juan Martin Del Potro,Michael Russell,ARG,USA,60,65,21,4,7,9,72,64,48,46,220,197,189,172,154,151,43,50,40,35,124,116,49,29,61,54,59,72,34.56,29.44,,,,,,,,
First,Andy Murray,6-1 6-1 6-2,2010,m,Andy Murray,Kevin Anderson,GBR,RSA,35,69,9,2,1,2,87,51,60,26,212,208,195,194,147,171,67,25,55,30,87,52,37,20,19,32,89,43,52.2,13.26,,,,,,,,
First,Jarkko Nieminen,6-2 7-5 6-4,2010,m,Jarkko Nieminen,Nick Lindahl,FIN,AUS,78,62,1,7,0,2,73,67,62,44,191,196,151,177,117,132,38,13,41,29,110,87,34,33,21,31,70,65,45.26,29.48,,,,,,,,
First,Gael Monfils,6-4 6-4 6-4,2010,m,Gael Monfils,Matthew Ebden,FRA,AUS,65,64,4,2,4,2,84,70,63,49,200,193,172,174,140,140,50,100,37,22,96,79,34,25,30,38,63,68,52.92,34.3,,,,,,,,
First,Andrey Golubev,6-2 1-6 6-3 6-3,2010,m,Andrey Golubev,Mardy Fish,KAZ,USA,65,52,4,3,2,4,63,67,54,39,201,209,171,171,145,136,70,44,45,39,114,103,44,16,53,52,73,55,34.02,26.13,,,,,,,,
First,Rafael Nadal,7-6(0) 6-1 6-4,2010,m,Rafael Nadal,Peter Luczak,ESP,AUS,69,59,11,7,1,6,76,70,56,35,200,197,174,185,142,149,44,14,41,30,113,82,35,29,16,38,86,72,42.56,24.5,,,,,,,,
Final,Novak Djokovic,6-4 6-2 6-3,2011,m,Novak Djokovic,Andy Murray,SRB,GBR,67,53,6,6,0,4,70,64,60,31,208,216,192,194,0,0,39,75,51,33,106,78,26,21,33,47,64,39,42,19.84,,,,,,,,
semi,Andy Murray,4-6 7-6(2) 6-1 7-6(2),2011,m,Andy Murray,David Ferrer,GBR,ESP,60,67,9,5,3,2,75,60,37,49,211,198,185,178,142,146,55,28,44,40,152,141,60,34,63,34,71,70,27.75,29.4,,,,,,,,
semi,Novak Djokovic,7-6(3) 7-5 6-4,2011,m,Novak Djokovic,Roger Federer,SRB,SUI,69,60,6,5,5,0,73,71,41,48,207,203,191,189,149,157,36,30,38,37,119,111,29,35,35,44,62,65,29.93,34.08,,,,,,,,
quarter,David Ferrer,6-4 6-2 6-3,2011,m,David Ferrer,Rafael Nadal,ESP,ESP,68,66,8,2,2,1,72,55,57,37,198,207,178,179,149,142,47,33,51,33,102,75,44,19,32,34,76,74,41.04,20.35,,,,,,,,
quarter,Andy Murray,7-5 6-3 6-7(3) 6-3,2011,m,Andy Murray,Alexandr Dolgopolov,GBR,UKR,58,58,9,16,5,5,75,71,61,35,216,211,187,184,149,140,39,80,44,31,152,124,33,57,34,77,68,59,45.75,24.85,,,,,,,,
quarter,Novak Djokovic,6-1 7-6(5) 6-1,2011,m,Novak Djokovic,Tomas Berdych,SRB,CZE,68,53,10,5,1,5,82,71,41,36,206,218,192,200,150,156,50,50,46,31,107,80,34,29,21,32,75,47,33.62,25.56,,,,,,,,
quarter,Roger Federer,6-1 6-3 6-3,2011,m,Roger Federer,Stanislas Wawrinka,SUI,SUI,77,58,5,1,0,0,72,57,76,56,207,214,188,184,156,144,71,0,43,27,90,66,29,21,24,30,63,48,54.72,31.92,,,,,,,,
Fourth,Rafael Nadal,6-2 6-4 6-3,2011,m,Rafael Nadal,Marin Cilic,ESP,CRO,73,55,3,8,3,4,79,76,48,33,200,201,183,187,140,152,36,0,43,29,103,82,26,32,21,48,94,68,37.92,25.08,,,,,,,,
Fourth,David Ferrer,4-6 6-2 6-3 6-4,2011,m,David Ferrer,Milos Raonic,ESP,CAN,71,61,3,15,1,2,78,65,55,51,195,226,176,204,145,160,36,22,40,29,131,109,23,57,10,68,94,62,42.9,33.15,,,,,,,,
Fourth,Alexandr Dolgopolov,1-6 6-3 6-1 4-6 6-2,2011,m,Alexandr Dolgopolov,Robin Soderling,UKR,SWE,50,62,11,6,2,6,79,59,44,38,215,221,189,190,144,155,53,67,49,38,132,111,50,34,23,51,67,64,34.76,22.42,,,,,,,,
Fourth,Andy Murray,6-3 6-1 6-1,2011,m,Andy Murray,Jurgen Melzer,GBR,AUT,57,65,13,1,3,1,83,51,57,32,216,204,192,180,147,150,50,13,56,29,90,52,30,21,10,27,68,58,47.31,16.32,,,,,,,,
Fourth,Tomas Berdych,6-4 6-2 6-3,2011,m,Tomas Berdych,Fernando Verdasco,CZE,ESP,65,57,11,10,1,4,88,69,74,44,217,211,190,187,147,155,38,100,42,17,88,57,32,26,8,39,100,78,65.12,30.36,,,,,,,,
Fourth,Novak Djokovic,6-3 6-4 6-0,2011,m,Novak Djokovic,Nicolas Almagro,SRB,ESP,75,59,12,5,4,2,86,61,47,44,206,212,188,198,147,151,38,0,46,24,93,60,31,15,17,35,82,50,40.42,26.84,,,,,,,,
Fourth,Stanislas Wawrinka,6-3 6-4 6-4,2011,m,Stanislas Wawrinka,Andy Roddick,SUI,USA,49,61,24,9,2,4,92,74,65,41,215,219,192,203,154,178,23,0,39,22,106,85,67,24,19,19,88,65,59.8,30.34,,,,,,,,
Fourth,Roger Federer,6-3 3-6 6-3 6-2,2011,m,Roger Federer,Tommy Robredo,SUI,ESP,69,62,10,6,1,1,79,72,61,49,203,205,184,176,149,142,40,50,37,27,117,97,50,28,40,21,72,58,48.19,35.28,,,,,,,,
Third,Rafael Nadal,6-2 7-5 6-3,2011,m,Rafael Nadal,Bernard Tomic,ESP,AUS,58,64,4,11,4,3,68,64,54,35,207,201,182,185,141,141,37,25,45,37,108,92,32,39,32,49,68,62,36.72,22.4,,,,,,,,
Third,Marin Cilic,4-6 6-2 6-7(5) 7-6(2) 9-7,2011,m,Marin Cilic,John Isner,CRO,USA,57,69,22,26,8,5,76,76,68,54,204,227,187,200,146,168,33,9,30,26,192,179,75,67,42,59,52,67,51.68,41.04,,,,,,,,
Third,Milos Raonic,6-4 7-5 4-6 6-4,2011,m,Milos Raonic,Mikhail Youzhny,CAN,RUS,68,61,31,3,2,2,71,63,61,57,225,190,203,177,158,146,75,80,39,31,123,107,64,24,54,26,48,44,43.31,35.91,,,,,,,,
Third,David Ferrer,6-2 6-2 6-1,2011,m,David Ferrer,Richard Berankis,ESP,LTU,58,57,5,1,1,5,88,50,58,33,189,202,174,182,142,149,42,100,54,24,95,53,23,18,15,46,82,64,51.04,16.5,,,,,,,,
Third,Robin Soderling,6-3 6-1 6-4,2011,m,Robin Soderling,Jan Hernych,SWE,CZE,60,65,10,0,3,1,84,53,53,44,220,196,190,174,158,147,50,33,49,27,100,67,33,8,32,32,81,64,44.52,23.32,,,,,,,,
Third,Alexandr Dolgopolov,3-6 6-3 3-6 6-1 6-1,2011,m,Alexandr Dolgopolov,Jo-Wilfried Tsonga,UKR,FRA,53,60,9,6,3,8,81,71,48,33,213,212,182,190,139,146,60,50,41,34,121,102,38,40,26,58,50,67,38.88,23.43,,,,,,,,
Third,Jurgen Melzer,6-7(5) 6-2 6-1 4-3 ret.,2011,m,Jurgen Melzer,Marcos Baghdatis,AUT,CYP,66,62,6,4,5,0,72,63,58,51,207,207,182,185,146,145,54,25,41,32,115,94,39,25,44,41,58,52,41.76,32.13,,,,,,,,
Third,Andy Murray,6-1 6-1 6-2,2011,m,Andy Murray,Guillermo Garcia-Lopez,GBR,ESP,64,65,10,3,1,4,78,58,57,21,205,195,189,181,150,146,73,50,52,29,79,48,24,13,18,31,73,57,44.46,12.18,,,,,,,,
Third,Tomas Berdych,6-2 7-6(3) 6-2,2011,m,Tomas Berdych,Richard Gasquet,CZE,FRA,71,56,9,9,1,5,77,68,65,41,217,211,194,186,147,152,50,25,42,26,103,78,39,34,17,38,59,60,50.05,27.88,,,,,,,,
Third,Fernando Verdasco,6-2 6-4 6-3,2011,m,Fernando Verdasco,Kei Nishikori,ESP,JPN,73,67,3,1,2,3,73,64,59,33,217,192,182,176,144,143,60,25,44,30,94,70,36,15,30,27,62,53,43.07,21.12,,,,,,,,
Third,Nicolas Almagro,6-4 7-6(8) 6-3,2011,m,Nicolas Almagro,Ivan Ljubicic,ESP,CRO,63,55,11,10,2,2,84,83,73,54,209,207,182,187,137,140,67,0,29,20,96,79,37,30,26,34,65,68,61.32,44.82,,,,,,,,
Third,Novak Djokovic,6-2 ret.,2011,m,Novak Djokovic,Viktor Troicki,SRB,SRB,77,61,1,2,0,1,59,65,80,13,206,199,195,183,159,144,50,100,54,36,35,25,11,7,8,17,60,45,47.2,8.45,,,,,,,,
Third,Andy Roddick,2-6 7-6(2) 6-2 6-2,2011,m,Andy Roddick,Robin Haase,USA,NED,68,61,32,10,3,5,78,70,56,42,222,206,203,184,174,152,56,50,39,28,123,99,51,54,22,32,53,70,43.68,29.4,,,,,,,,
Third,Stanislas Wawrinka,7-6(4) 6-2 6-3,2011,m,Stanislas Wawrinka,Gael Monfils,SUI,FRA,63,57,11,3,2,7,75,61,54,43,220,211,200,178,147,151,29,33,44,32,120,95,57,26,35,34,64,57,40.5,26.23,,,,,,,,
Third,Tommy Robredo,5-7 6-2 6-4 6-2,2011,m,Tommy Robredo,Sergiy Stakhovsky,ESP,UKR,62,67,3,2,4,4,64,61,58,40,200,199,176,178,139,149,57,21,44,37,140,119,38,36,35,48,73,60,37.12,24.4,,,,,,,,
Third,Roger Federer,6-3 6-3 6-1,2011,m,Roger Federer,Xavier Malisse,SUI,BEL,64,60,6,4,1,2,66,53,57,35,204,199,179,184,153,135,41,67,53,37,98,70,36,16,36,30,68,58,37.62,18.55,,,,,,,,
Second,Rafael Nadal,6-2 6-1 6-1,2011,m,Rafael Nadal,Ryan Sweeting,ESP,USA,63,73,7,2,4,5,83,46,54,38,209,195,191,154,145,139,53,50,53,26,90,52,36,14,25,28,94,69,44.82,17.48,,,,,,,,
Second,Bernard Tomic,7-6(4) 7-6(3) 6-3,2011,m,Bernard Tomic,Feliciano Lopez,AUS,ESP,63,59,10,20,3,1,82,72,55,59,202,218,182,192,143,158,60,25,33,27,104,90,35,47,21,40,74,78,45.1,42.48,,,,,,,,
Second,John Isner,4-6 6-4 6-2 6-1,2011,m,John Isner,Radek Stepanek,USA,CZE,76,59,20,3,5,3,79,73,63,53,225,199,202,183,177,155,71,13,34,24,105,82,42,14,39,28,65,45,49.77,38.69,,,,,,,,
Second,Marin Cilic,6-3 7-6(1) 6-1,2011,m,Marin Cilic,Santiago Giraldo,CRO,COL,47,68,13,2,7,2,83,65,60,52,204,204,187,167,148,137,80,8,38,27,101,73,39,23,31,36,69,43,49.8,33.8,,,,,,,,
Second,Mikhail Youzhny,6-3 6-1 5-7 4-6 6-1,2011,m,Mikhail Youzhny,Blaz Kavcic,RUS,SLO,58,62,14,6,4,8,74,65,55,46,196,210,180,178,147,143,70,23,40,33,156,133,76,35,47,40,71,53,40.7,29.9,,,,,,,,
Second,Milos Raonic,7-6(3) 6-3 7-6(4),2011,m,Milos Raonic,Michael Llodra,CAN,FRA,67,62,21,10,1,2,88,76,68,51,230,205,203,182,167,157,33,50,33,19,113,90,49,25,20,20,63,55,59.84,38.76,,,,,,,,
Second,Richard Berankis,6-1 6-0 2-0 ret.,2011,m,Richard Berankis,David Nalbandian,LTU,ARG,58,61,8,0,1,3,84,43,72,28,200,181,192,167,149,146,50,0,59,20,63,26,28,5,12,21,67,38,60.48,12.04,,,,,,,,
Second,Jo-Wilfried Tsonga,6-3 7-6(1) 7-6(5),2011,m,Jo-Wilfried Tsonga,Andreas Seppi,FRA,ITA,64,57,20,8,4,3,79,76,44,49,214,202,192,184,146,138,50,25,34,32,115,102,46,25,47,29,59,77,34.76,37.24,,,,,,,,
Second,Jurgen Melzer,6-2 6-4 6-2,2011,m,Jurgen Melzer,Pere Riba,AUT,ESP,67,54,9,5,2,6,78,60,50,42,203,204,176,188,142,146,60,100,45,31,90,66,34,18,25,33,68,80,39,25.2,,,,,,,,
Second,Marcos Baghdatis,6-1 6-3 4-6 6-3,2011,m,Marcos Baghdatis,Juan Martin Del Potro,CYP,ARG,47,68,15,10,5,3,88,61,51,51,213,207,196,193,151,160,50,40,41,31,116,96,46,34,29,41,62,80,44.88,31.11,,,,,,,,
Second,Guillermo Garcia-Lopez,6-4 7-6(8) 6-1,2011,m,Guillermo Garcia-Lopez,Eduardo Schwank,ESP,ARG,54,65,4,2,4,8,87,67,62,41,199,196,183,177,145,148,44,50,39,24,111,86,26,21,28,63,59,61,53.94,27.47,,,,,,,,
Second,Andy Murray,6-1 6-3 6-3,2011,m,Andy Murray,Illya Marchenko,GBR,UKR,63,55,16,5,0,4,79,54,43,41,210,202,188,190,145,149,75,25,49,34,91,62,31,28,15,34,75,64,33.97,22.14,,,,,,,,
Second,Tomas Berdych,4-6 6-2 6-3 6-4,2011,m,Tomas Berdych,Philipp Kohlschreiber,CZE,GER,58,62,11,13,6,5,84,73,49,37,215,205,193,187,151,154,44,33,39,29,133,108,35,43,25,48,60,59,41.16,27.01,,,,,,,,
Second,Richard Gasquet,6-3 7-6(4) 6-4,2011,m,Richard Gasquet,Adrian Mannarino,FRA,FRA,69,58,11,5,3,3,77,63,57,47,207,197,178,168,147,132,36,50,43,28,115,88,44,35,33,46,64,57,43.89,29.61,,,,,,,,
Second,Kei Nishikori,6-4 6-3 0-6 6-3,2011,m,Kei Nishikori,Florian Mayer,JPN,GER,57,64,2,6,5,5,65,68,56,38,191,187,173,175,143,138,42,40,41,37,121,113,43,42,34,44,72,62,36.4,25.84,,,,,,,,
Second,Fernando Verdasco,2-6 4-6 6-4 7-6(0) 6-0,2011,m,Fernando Verdasco,Janko Tipsarevic,ESP,SRB,64,55,23,17,7,6,77,67,40,47,221,205,181,186,151,144,46,25,41,35,161,144,68,51,65,48,79,52,30.8,31.49,,,,,,,,
Second,Nicolas Almagro,7-5 2-6 4-6 7-6(10) 7-5,2011,m,Nicolas Almagro,Igor Andreev,ESP,RUS,52,65,10,20,5,5,78,74,54,49,210,204,186,189,140,141,38,50,34,33,169,169,48,55,51,63,65,77,42.12,36.26,,,,,,,,
Second,Ivan Ljubicic,6-3 6-7(2) 6-4 7-6(5),2011,m,Ivan Ljubicic,Benoit Paire,CRO,FRA,63,54,8,13,1,6,69,72,58,45,213,204,185,179,143,140,38,100,38,35,141,132,29,59,29,66,59,67,40.02,32.4,,,,,,,,
Second,Novak Djokovic,7-5 6-7(8) 6-0 6-2,2011,m,Novak Djokovic,Ivan Dodig,SRB,CRO,65,58,9,8,3,6,75,68,64,47,204,207,189,183,154,142,35,20,39,28,146,121,49,23,50,39,56,47,48,31.96,,,,,,,,
Second,Andy Roddick,7-6(7) 6-2 6-3,2011,m,Andy Roddick,Igor Kunitsyn,USA,RUS,67,66,17,4,5,0,85,67,74,61,221,195,195,181,181,134,43,0,35,17,99,74,31,31,16,33,53,67,62.9,40.87,,,,,,,,
Second,Robin Haase,6-4 6-4 3-6 6-2,2011,m,Robin Haase,Juan Monaco,NED,ARG,67,69,8,2,3,2,65,58,47,47,203,201,188,174,148,148,47,29,45,40,142,127,54,42,46,38,68,67,30.55,27.26,,,,,,,,
Second,Stanislas Wawrinka,7-5 6-3 6-3,2011,m,Stanislas Wawrinka,Grigor Dimitrov,SUI,BUL,54,55,8,2,0,6,77,71,65,43,216,207,185,191,145,166,60,29,39,29,91,71,26,23,11,27,71,50,50.05,30.53,,,,,,,,
Second,Gael Monfils,6-4 6-3 1-6 6-2,2011,m,Gael Monfils,Frederico Gil,FRA,POR,66,71,8,0,5,0,71,54,49,57,205,183,179,160,151,135,55,57,45,35,123,108,48,34,41,40,64,71,34.79,30.78,,,,,,,,
Second,Tommy Robredo,1-6 6-3 6-3 6-3,2011,m,Tommy Robredo,Mardy Fish,ESP,USA,71,59,1,13,2,5,73,70,47,40,200,211,176,189,146,149,36,38,41,34,119,103,31,46,27,51,77,51,34.31,28,,,,,,,,
Second,Sergiy Stakhovsky,6-3 6-4 6-4,2011,m,Sergiy Stakhovsky,Lukasz Kubot,UKR,POL,68,65,9,5,5,8,67,57,41,31,201,210,181,187,154,151,57,63,48,39,98,79,31,31,22,36,62,60,27.47,17.67,,,,,,,,
Second,Roger Federer,6-2 6-3 4-6 4-6 6-3,2011,m,Roger Federer,Gilles Simon,SUI,FRA,61,57,11,9,1,5,79,56,43,55,208,200,188,177,153,138,44,56,43,35,151,130,51,44,53,40,72,44,33.97,30.8,,,,,,,,
First,Rafael Nadal,6-0 5-0 ret.,2011,m,Rafael Nadal,Marcos Daniel,ESP,BRA,54,65,4,0,3,0,84,12,56,0,205,194,185,168,145,139,100,0,92,26,49,12,25,0,10,18,80,0,47.04,0,,,,,,,,
First,Bernard Tomic,6-3 6-2 7-6(5),2011,m,Bernard Tomic,Jeremy Chardy,AUS,FRA,63,58,2,12,3,7,72,74,71,41,201,206,183,198,145,168,50,0,37,27,103,81,21,33,23,56,73,40,51.12,30.34,,,,,,,,
First,John Isner,6-3 7-6(8) 6-3,2011,m,John Isner,Florent Serra,USA,FRA,73,63,26,4,4,5,81,74,48,50,224,197,202,183,182,150,60,25,33,27,108,90,60,27,38,21,85,56,38.88,37,,,,,,,,
First,Marin Cilic,6-3 6-2 6-1,2011,m,Marin Cilic,Donald Young,CRO,USA,63,64,8,1,0,3,81,58,64,41,203,197,185,168,154,132,55,0,46,25,86,56,33,11,28,25,92,57,51.84,23.78,,,,,,,,
First,Michael Llodra,6-3 3-6 6-2 6-4,2011,m,Michael Llodra,Juan Ignacio Chela,FRA,ARG,61,60,9,3,5,5,75,64,50,42,208,185,186,165,155,141,55,30,43,33,121,100,66,22,39,20,61,41,37.5,26.88,,,,,,,,
First,David Nalbandian,3-6 6-4 3-6 7-6(1) 9-7,2011,m,David Nalbandian,Lleyton Hewitt,ARG,AUS,65,59,6,10,6,5,64,71,51,47,191,192,174,172,149,140,50,23,38,39,193,193,65,53,83,62,68,55,32.64,33.37,,,,,,,,
First,Richard Berankis,6-4 6-2 7-5,2011,m,Richard Berankis,Marinko Matosevic,LTU,AUS,62,54,7,5,1,4,72,59,58,48,201,197,187,180,151,142,47,75,44,33,101,80,31,22,44,44,59,62,41.76,28.32,,,,,,,,
First,Michael Russell,6-3 6-2 5-7 7-6(9),2011,m,Michael Russell,Matthew Ebden,USA,AUS,71,62,4,12,3,2,66,66,44,40,196,199,168,179,147,145,62,55,43,39,146,134,39,52,33,76,66,73,29.04,26.4,,,,,,,,
First,David Ferrer,6-4 6-3 1-6 6-2,2011,m,David Ferrer,Jarkko Nieminen,ESP,FIN,70,58,4,5,2,0,79,67,56,48,194,207,175,186,141,138,45,100,41,27,107,86,32,30,32,45,87,67,44.24,32.16,,,,,,,,
First,Jo-Wilfried Tsonga,4-6 2-6 6-2 6-3 6-4,2011,m,Jo-Wilfried Tsonga,Philipp Petzschner,FRA,GER,66,55,11,14,5,7,69,73,43,41,210,210,186,194,145,150,46,28,39,39,153,142,49,57,46,48,66,59,29.67,29.93,,,,,,,,
First,Pere Riba,1-6 7-6(5) 6-2 2-6 6-4,2011,m,Pere Riba,Carsten Ball,ESP,AUS,56,68,10,24,6,11,64,77,61,45,201,221,183,190,149,157,44,71,31,36,126,138,32,63,34,59,64,54,39.04,34.65,,,,,,,,
First,Juan Martin Del Potro,7-6(13) 6-4 6-4,2011,m,Juan Martin Del Potro,Dudi Sela,ARG,ISR,63,53,19,4,3,1,76,73,49,56,210,175,191,163,162,139,67,40,35,33,108,100,47,25,52,27,45,62,37.24,40.88,,,,,,,,
First,Marcos Baghdatis,3-6 7-5 6-1 4-6 6-2,2011,m,Marcos Baghdatis,Grega Zemlja,CYP,SLO,52,54,15,8,3,5,75,64,55,51,210,205,194,184,143,140,32,31,41,34,157,142,44,42,59,68,76,65,41.25,32.64,,,,,,,,
First,Andy Murray,6-3 6-1 4-2 ret.,2011,m,Andy Murray,Karol Beck,GBR,SVK,58,59,2,5,3,6,87,65,50,35,214,200,186,182,141,150,56,0,44,28,86,63,21,23,17,43,75,70,43.5,22.75,,,,,,,,
First,Tomas Berdych,6-4 6-0 6-2,2011,m,Tomas Berdych,Marco Crugnola,CZE,ITA,63,62,2,0,1,9,88,58,42,32,212,196,192,173,151,154,64,100,47,29,88,58,16,19,16,31,87,73,36.96,18.56,,,,,,,,
First,Richard Gasquet,6-3 6-4 6-4,2011,m,Richard Gasquet,Frank Dancevic,FRA,CAN,63,65,5,2,2,0,72,58,63,47,205,205,182,181,148,145,43,75,46,30,99,77,39,24,24,29,52,45,45.36,27.26,,,,,,,,
